MeetID,MeetPath,Federation,Date,MeetCountry,MeetState,MeetTown,MeetName
98,apf/1714,APF,5/20/17,USA,ID,,Teton Powerlifting Championships
99,apf/1715,WPC,7/3/17,Finland,,Helsinki,European Championships
100,apf/1716,APF,7/22/17,USA,,,Show of Strength
101,apf/1717,APF,7/16/17,USA,TX,,Texas Firefighter
102,apf/1718,APF,6/10/17,USA,UT,,Utah State Championships
103,apf/1719,WPC,8/5/17,USA,MI,Grand Rapids,Single Lift Championships
104,apf/1720,APF,3/11/17,USA,MI,,Michigan State Meet
105,apf/1721,APF,8/5/17,USA,ME,Westbrook,Maine State Push-Pull
106,apf/1722,APF,7/29/17,USA,IL,Chicago,Chicago Summer Bash 14
107,apf/1723,APF,1/7/17,USA,SC,Ft. Jackson,Victory Starts Here
108,apf/1724,APF,4/29/17,USA,CA,,Cal State Meet
109,apf/1725,APF,2/4/17,USA,SD,,SD State Powerlifting Championships
110,apf/1726,WPC,8/31/17,USA,ID,,WPC/AWPC World Cup
111,apf/1727,APF,9/9/17,USA,OH,,Ohio State Meet
112,apf/1728,WPC,9/8/17,USA,IL,,AWPC Worlds
113,apf/1729,APF,7/29/17,USA,ND,,North Dakota Powerlifting Championship
114,apf/1730,APF,9/24/17,USA,SC,,Pro Fitness Go Heavy or Go Home
115,apf/1731,APF,2/19/17,USA,FL,,Florida State Championships
116,apf/1732,APF,10/7/17,USA,MI,Grand Rapids,Fall Open
117,apf/1733,APF,9/30/17,USA,SD,Chamberlain,Midwest Iron Reaping
118,apf/1734,APF,10/7/17,USA,MS,Moss Point,Power Pit Classic
119,apf/1735,APF,10/28/17,USA,IL,,Rise of the Deadlift & Bench of the Beast
120,apf/1736,APF,11/18/17,USA,IL,,2XL Intro to Powerlifting
121,apf/1737,APF,12/2/17,USA,FL,,Gulf Coast Winter Bash
122,apf/1738,APF,12/15/17,USA,IL,,Illinois Raw Power Challenge
123,apf/1739,APF,12/16/17,USA,MS,,The Legendary Push-Pull
124,apf/1740,APF,12/2/17,USA,MN,,Twin Cities Barbell Holiday Throwdown IV
125,apf/1741,APF,12/15/17,USA,IL,,IL Raw Power Challenge
126,asianpf/8401,AsianPF,7/19/84,Indonesia,,Bandung,1st Asian Powerlifting Championship
127,bb/0901,BB,12/5/09,Russia,,,Unlimited Force
128,bb/0902,BB,9/29/09,Russia,,,Nutrasport Elite Cup
129,bb/0903,BB,5/23/09,Russia,,,Clear Victory
130,bb/0904,BB,12/19/09,Russia,,,National Championship
131,bb/1001,BB,12/18/10,Russia,,Moscow,Worldlifting 2010
132,bb/1002,BB,5/14/10,Russia,,Moscow,European RAW Powerlifting and Bench Press Championship
133,bb/1003,BB,3/7/10,Russia,,,Russian Hero
134,bb/1004,BB,12/18/10,Russia,,,National Championship
135,bb/1101,BB,12/10/11,Russia,,,2011 National Championship
136,bb/1102,BB,5/28/11,Russia,,Moscow,Eurolifting 2011
137,bb/1201,BB,4/27/12,Russia,,Moscow,European Raw Pro Bench Press Championship
138,bp/1301,BP,1/10/13,UK,,,British Benchpress Championships 2013
139,bp/1302,BP,4/10/13,UK,,,British Junior Championships 2013
140,bp/1303,BP,3/10/15,UK,,,British Masters Championships 2013
141,bp/1304,BP,10/5/13,UK,,Horncastle,British Classic 2013
142,bp/1308,BP,9/28/13,UK,,Belfast,Four Nations 2013
143,bp/1309,BP,6/22/13,UK,,Burnley,British Championships 2013
144,bp/1401,BP,10/4/14,UK,,Dover,British Classic Mens Powerlifting Championships 2014
145,bp/1402,BP,7/12/14,UK,,,British Senior & Junior Equipped Powerlifting Championships
146,bp/1403,BP,3/16/14,UK,,Horncastle,British Equipped Masters Powerlifting Championships
147,bp/1404,BP,3/15/14,UK,,Horncastle,British Classic Masters Powerlifting Championships
148,bp/1405,BP,1/15/14,UK,,,British Equipped Bench Press Championships
149,bp/1406,BP,9/20/14,UK,,London,British Women's Classic Championships
150,bp/1407,BP,11/29/14,UK,,Glasgow,Four Nations
151,bp/1501,BP,10/24/15,UK,,Ashington,Home Nations Championship 2015
152,bp/1502,BP,10/3/15,UK,,,British Mens Classic Championships 2015
153,bp/1503,BP,9/19/15,UK,,,British Womens Classic Championships 2015
154,bp/1504,BP,10/31/15,UK,,,British Junior Classic Championships 2015
155,bp/1505,BP,11/4/15,UK,,,British Equipped Championships 2015
156,bp/1506,BP,7/3/15,UK,,Horncastle,British Classic Masters 2015
157,bp/1507,BP,8/2/15,UK,,Horncastle,British Classic Bench Press Championships
158,bp/1508,BP,2/7/15,UK,,Horncastle,British Equipped Bench Press Championships
159,bp/1601,BP,10/1/16,UK,,Northamptonshire,British Classic Men 2016
160,bp/1602,BP,9/17/16,UK,,Horncastle,Women's British Classic Championship
161,bp/1603,BP,1/23/16,UK,,Horncastle,British Bench Press Championship 2016
162,bp/1604,BP,3/27/16,UK,,Gosport,British Equipped Powerlifting Championships 2016
163,bp/1701,BP,1/15/17,UK,,,British Classic Bench Press Championships
164,bp/1702,BP,1/16/17,UK,,,British Equipped Bench Press Championships
165,bp/1703,BP,2/25/17,UK,,,British Equipped Championships
166,bp/1704,BP,3/11/17,UK,,,British Masters Classic
167,bp/1705,BP,3/25/17,UK,,,British University Championships
168,bp/1706,BP,7/29/17,UK,,,British Women's Classic Championships
169,bp/1707,BP,10/21/17,UK,,,British Men's Classic Championships
170,bp/1708,BP,11/4/17,UK,,,Four Nations Championships
171,bp/1709,BP,11/25/17,UK,,,British Junior Classic Championships
172,bp/1710,BP,12/9/17,UK,,,British Masters Classic Qualifier
173,bp/1801,BP,1/21/18,UK,,Horncastle,British Equipped Bench Press Championships
174,bp/1802,BP,1/20/18,UK,,Horncastle,British Equipped Powerlifting Championships
175,bpu/1701,BPU,11/11/17,England,,Macclesfield,Northern Qualifiers
176,capo/1701,CAPO,6/3/17,Australia,NSW,,NSW State Titles
177,capo/1702,CAPO,5/21/17,Australia,SA,,SA State Titles
178,capo/1703,CAPO,4/30/17,Australia,QLD,,QLD State Titles
179,capo/1704,CAPO,5/20/17,Australia,VIC,,VIC State Titles
180,capo/1705,CAPO,4/25/17,Australia,,,Anzac Day Competition
181,capo/1706,CAPO,10/7/17,Australia,WA,Perth,Wild West Shootout 6
182,commonwealthpf/0501,CommonwealthPF,9/5/05,England,,Northumberland,1st Mens Commonwealth Powerlifting Championships
183,commonwealthpf/0502,CommonwealthPF,9/5/05,England,,Northumberland,1st Womens Commonwealth Powerlifting Championships
184,commonwealthpf/0701,CommonwealthPF,12/5/07,New Zealand,,Christchurch,2007 Mens Commonwealth Powerlifting Championships
185,commonwealthpf/0702,CommonwealthPF,12/5/07,New Zealand,,Christchurch,2007 Womens Commonwealth Powerlifting Championships
186,commonwealthpf/0901,CommonwealthPF,12/9/09,India,MH,Pune,Commonwealth Powerlifting Championships 2009
187,commonwealthpf/0902,CommonwealthPF,12/9/09,India,MH,Pune,Commonwealth Benchpress Championships 2009
188,commonwealthpf/1101,CommonwealthPF,12/16/11,England,,Bournemouth,2011 Commonwealth Powerlifting Championships
189,commonwealthpf/1301,CommonwealthPF,12/5/13,New Zealand,,Auckland,Commonwealth Mens Equipped Benchpress Championships 2013
190,commonwealthpf/1302,CommonwealthPF,12/4/13,New Zealand,,Auckland,Commonwealth Mens Equipped Powerlifting Championships 2013
191,commonwealthpf/1303,CommonwealthPF,12/5/13,New Zealand,,Auckland,Commonwealth Mens Raw Benchpress Championships 2013
192,commonwealthpf/1304,CommonwealthPF,12/6/13,New Zealand,,Auckland,Commonwealth Mens Raw Powerlifting Championships 2013
193,commonwealthpf/1305,CommonwealthPF,12/5/13,New Zealand,,Auckland,Commonwealth Womens Equipped Benchpress Championships 2013
194,commonwealthpf/1306,CommonwealthPF,12/5/13,New Zealand,,Auckland,Commonwealth Womens Raw Benchpress Championships 2013
195,commonwealthpf/1307,CommonwealthPF,12/6/13,New Zealand,,Auckland,Commonwealth Womens Raw Powerlifting Championships 2013
196,commonwealthpf/1308,CommonwealthPF,12/4/13,New Zealand,,Auckland,Commonwealth Womens Equipped Powerlifting Championships 2013
197,commonwealthpf/1501,CommonwealthPF,12/1/15,Canada,BC,Richmond,2015 Commonwealth Championships
198,cpf/0601,CPF,12/2/06,Canada,ON,Toronto,Battle in Toronto
199,cpf/1501,CPF,11/20/15,Canada,ON,Waterloo,6th Annual St David's Full Power Bash
200,cpf/1502,CPF,11/14/15,Canada,QC,Longueuil,Napalm Push-Pull
201,cpf/1503,CPF,11/7/15,Canada,NS,Amherst,Autumn Armageddon
202,cpf/1504,CPF,6/27/15,Canada,ON,Toronto,CPF Nationals
203,cpf/1601,CPF,6/26/16,Canada,NS,Amherst,2016 Pro Nationals
204,cpf/1602,CPF,12/17/16,Canada,ON,Scarborough,Townson Fitness Christmas Special
205,cpf/1603,CPF,12/10/16,Canada,ON,Toronto,Torque Pro Battle for Cash
206,cpf/1604,CPF,7/10/16,Canada,NS,Digby,Lobster Bench Bash Smash for Cash
207,cpf/1605,CPF,1/30/16,Canada,ON,Toronto,Quantum Pro Raw Classic
208,cpf/1606,CPF,11/19/16,Canada,ON,Mississauga,Fall at Forge
209,cpf/1607,CPF,6/25/16,Canada,NS,Amherst,2016 Amateur Nationals
210,cpf/1608,CPF,3/19/16,Canada,ON,Toronto,Torque Powerlifting Classic
211,cpf/1609,CPF,7/23/16,Canada,AB,Edmonton,Evolve Bench Bash and BBQ
212,cpf/1610,CPF,2/6/16,Canada,NS,Amherst,APC In-House Power Challenge
213,cpf/1611,CPF,11/5/16,Canada,BC,Prince George,Northern Power Wars
214,cpf/1612,CPF,10/29/16,Canada,ON,Toronto,Halloween Womens Only Pro/AM
215,cpf/1613,CPF,8/20/16,Canada,NS,Amherst,CPF/APC In-House Summer Power Challenge
216,cpf/1614,CPF,7/16/16,Canada,ON,Mississaugua,Forge Powerlifting Classic
217,cpf/1615,CPF,8/13/16,Canada,ON,Kitchener,Warehouse Bench Bash for Cash
218,cpf/1616,CPF,12/3/16,Canada,ON,Orleans,Barbell Assault
219,cpf/1617,CPF,9/17/16,Canada,ON,Burlington,Womens Open
220,cpf/1618,CPF,5/28/16,Canada,ON,Toronto,Amateur World Qualifiers
221,cpf/1619,CPF,2/19/16,Canada,ON,Kitchener,Resurrection Push/Pull High School Meet
222,cpf/1620,CPF,5/21/16,Canada,QC,Longueuil,The Earthquake
223,cpf/1621,CPF,4/16/16,Canada,ON,Guelph,WPC Worlds Pro Qualifier
224,cpf/1622,CPF,5/13/16,Canada,ON,Kitchener,High School National Championships
225,cpf/1623,CPF,5/7/16,Canada,AB,Edmonton,Western Canadian Championships and WPC Qualifier
226,cpf/1624,CPF,4/30/16,Canada,BC,Prince George,The Northern Powerlifting Classic
227,cpf/1625,CPF,4/9/16,Canada,QC,Longueuil,Bench Wars
228,cpf/1626,CPF,3/26/16,Canada,QC,Longueuil,March of Victory
229,cpf/1701,CPF,1/28/17,Canada,AB,Edmonton,Winter Warm Up
230,cpf/1702,CPF,6/3/17,Canada,ON,Guelph,CPF Nationals 2017
231,cpf/1703,CPF,1/28/17,Canada,ON,Kitchener,Judgment Day
232,cpf/1704,CPF,5/27/17,Canada,NS,Amherst,Summer Power Blast
233,cpf/1705,CPF,5/26/17,Canada,ON,Kitchener,High School Championship
234,cpf/1706,CPF,5/6/17,Canada,BC,Prince George,2017 GPC Nationals and CPF Western Canadian Championships
235,cpf/1707,CPF,6/17/17,Canada,QC,Longueuil,The SSP Barbell Club Bench Meet
236,cpf/1708,CPF,4/30/17,Canada,ON,Toronto,All in One Masters Challenge
237,cpf/1709,CPF,4/22/17,Canada,ON,Toronto,Torque Tournament of Champions Qualifier 2
238,cpf/1710,CPF,3/31/17,Canada,ON,Waterloo,8th Annual RCSS Push/Pull Meet
239,cpf/1711,CPF,2/25/17,Canada,ON,Toronto,Tournament of Champions Qualifier 1
240,cpf/1712,CPF,2/4/17,Canada,QC,Longueuil,SSP Barbell Club Winter Open
241,cpf/1713,CPF,1/28/17,Canada,NS,Amherst,Winter Power Challenge
242,cpf/1714,CPF,7/8/17,Canada,ON,Mississauga,2nd Annual Forge Powerlifting Classic
243,cpf/1715,CPF,7/22/17,Canada,ON,Barrie,APS Summer Slam PRO
244,cpf/1716,CPF,8/19/17,Canada,ON,Orleans,Raw Bench Bash
245,cpf/1717,CPF,9/9/17,Canada,ON,Hamilton,Tournament of Champions Qualifier 3
246,cpf/1718,CPF,9/16/17,Canada,ON,Vaughan,Women's Open
247,cpf/1719,CPF,9/30/17,Canada,AB,Edmonton,Summer Send Off
248,cpf/1720,CPF,9/30/17,Canada,QC,Longueuil,The Battle Begins
249,cpf/1722,CPF,11/12/17,Canada,ON,Barrie,APS Memorial Classic
250,cpf/1723,CPF,11/4/17,Canada,SK,Regina,Shell Shock II
251,cpf/1724,CPF,11/4/17,Canada,NS,Milford,Renfrew Full Power Fall Classic
252,cpf/1725,CPF,11/4/17,Canada,BC,Prince George,Northern Powerlifting Classic
253,cpf/1726,CPF,11/24/17,Canada,ON,Kitchener,8th Annual WCDSB Push/Pull
254,cpf/1727,CPF,12/2/17,Canada,ON,Orleans,Barbell Assault 2.0
255,cpf/1728,CPF,12/16/17,Canada,ON,Scarborough,Townson Fitness Xmas Special and Tournament of Champions Finals
256,cpl/1401,CPL,7/26/14,Canada,BC,Prince George,Canadian Powerlifting League National Championships
257,cpl/1501,CPL,6/6/15,Canada,BC,Prince George,Western Canadian Bash
258,cpl/1502,CPL,7/25/15,Canada,BC,Vancouver,Vancouver PRO-AM Expo
259,cpl/1503,CPL,8/29/15,Canada,AB,Red Deer,CPL Red Deer Nationals 2015
260,cpl/1601,CPL,7/9/16,Canada,BC,Vancouver,2016 Canadian Cup
261,cpl/1602,CPL,8/20/16,Canada,AB,Red Deer,Canadian National Championships
262,cpl/1603,CPL,11/26/16,Canada,AB,Edmonton,CPL Shell Shock
263,cpl/1701,CPL,3/4/17,Canada,ON,Toronto,Eastern Canada Regional Opener
264,cpl/1702,CPL,7/8/17,Canada,BC,Vancouver,Vancouver Pro-Am and Expo
265,cpl/1703,CPL,8/12/17,Canada,,,National Championship
266,cpl/1704,CPL,8/26/17,Canada,QC,Montreal,Montreal Provincials
267,cpl/1705,CPL,9/9/17,Canada,ON,Kingston,EPC Strength Showdown
268,cpl/1706,CPL,12/12/17,Canada,ON,Ontario,EPC Finals
269,cpu/1979-08-04-2cc667f7,CPU,8/4/79,Canada,QC,,Canadian Championships
270,cpu/1983-06-18-a4ab573f,CPU,6/18/83,Canada,AB,Pincher Creek,1983 APU Provincials
271,cpu/1984-02-25-84392b74,CPU,2/25/84,Canada,AB,Stettler,1984 APU Provincials
272,cpu/1984-05-19-f7cd2b22,CPU,5/19/84,Canada,AB,Pincher Creek,1984 Western Canadians
273,cpu/1985-11-30-a83aef3c,CPU,11/30/85,Canada,AB,Lethbridge,Lethbridge Open
274,cpu/1986-01-01-88abfb1a,CPU,1/1/86,Canada,AB,Edmonton,Edmonton Novice
275,cpu/1986-03-08-5005bbb3,CPU,3/8/86,Canada,AB,Edmonton,1986 APU Provincials
276,cpu/1986-07-19-98064b01,CPU,7/19/86,Canada,AB,,Alberta Open
277,cpu/1986-11-08-98064b01,CPU,11/8/86,Canada,AB,,Alberta Open
278,cpu/1987-02-28-d7a370f0,CPU,2/28/87,Canada,AB,Medicine Hat,1987 APU Provincials
279,cpu/1988-03-12-11214325,CPU,3/12/88,Canada,AB,Taber,1988 APU Provincials
280,cpu/1994-05-21-774d42a4,CPU,5/21/94,Canada,NS,Antigonish,Canadian Nationals
281,cpu/1995-02-10-520e0322,CPU,2/10/95,Canada,BC,Chilliwack,Nationals
282,cpu/1995-02-10-b2ebf14e,CPU,2/10/95,Canada,BC,Chilliwack,Masters Nationals
283,cpu/1995-02-10-ca5f65ac,CPU,2/10/95,Canada,BC,Chilliwack,Junior Nationals
284,cpu/1995-02-12-24692678,CPU,2/12/95,Canada,BC,Chilliwack,BP Nationals
285,cpu/1995-02-12-b2ebf14e,CPU,2/12/95,Canada,BC,Chilliwack,Masters Nationals
286,cpu/1995-02-12-e009bd29,CPU,2/12/95,Canada,BC,Chilliwack,Junior BP Nationals
287,cpu/1995-05-21-520e0322,CPU,5/21/95,Canada,ON,Ottawa,Nationals
288,cpu/1995-10-07-34ea97f0,CPU,10/7/95,Canada,AB,Olds,CBSA Provincials
289,cpu/1995-10-07-f48c71c4,CPU,10/7/95,Canada,AB,Olds,Junior Provincials
290,cpu/1995-10-07-f55d983d,CPU,10/7/95,Canada,AB,Olds,Provincials
291,cpu/1995-10-07-fe0d8fc3,CPU,10/7/95,Canada,AB,Olds,BP Provincials
292,cpu/1995-10-28-8f3dfbc2,CPU,10/28/95,Canada,NS,Sydney,Annual Sydney Open
293,cpu/1995-11-05-5ac66569,CPU,11/5/95,Canada,BC,Vancouver,1995 Fall Classic
294,cpu/1995-11-05-f55d983d,CPU,11/5/95,Canada,BC,Vancouver,Provincials
295,cpu/1996-02-10-f55d983d,CPU,2/10/96,Canada,BC,Nanaimo,Provincials
296,cpu/1996-02-17-230c3c3e,CPU,2/17/96,Canada,MB,Steinbach,Special Olympics Provincials
297,cpu/1996-02-17-f55d983d,CPU,2/17/96,Canada,MB,Steinbach,Provincials
298,cpu/1996-03-01-520e0322,CPU,3/1/96,Canada,NS,Windsor,Nationals
299,cpu/1996-03-01-b2ebf14e,CPU,3/1/96,Canada,NS,Windsor,Masters Nationals
300,cpu/1996-03-01-ca5f65ac,CPU,3/1/96,Canada,NS,Windsor,Junior Nationals
301,cpu/1996-04-06-195ef634,CPU,4/6/96,Canada,AB,Bonnyville,APU Blind Invitational Championship
302,cpu/1996-04-06-93ef9d8c,CPU,4/6/96,Canada,AB,Bonnyville,APU Novice Invitational Championship
303,cpu/1996-04-06-9b73a2f0,CPU,4/6/96,Canada,AB,Bonnyville,APU Special Olympics Invitational Championship
304,cpu/1996-04-06-aff04a37,CPU,4/6/96,Canada,AB,Bonnyville,APU Invitational Championship
305,cpu/1996-05-17-520e0322,CPU,5/17/96,Canada,AB,Leduc,Nationals
306,cpu/1996-05-19-24692678,CPU,5/19/96,Canada,AB,Leduc,BP Nationals
307,cpu/1996-08-01-c1696e52,CPU,8/1/96,Canada,NL,Cornerbrook,1996 August Classic
308,cpu/1996-09-28-6fa6cf43,CPU,9/28/96,Canada,AB,Edmonton,Masters Provincials
309,cpu/1996-09-28-f48c71c4,CPU,9/28/96,Canada,AB,Edmonton,Junior Provincials
310,cpu/1996-09-28-f55d983d,CPU,9/28/96,Canada,AB,Edmonton,Provincials
311,cpu/1996-09-28-fe0d8fc3,CPU,9/28/96,Canada,AB,Edmonton,BP Provincials
312,cpu/1996-10-18-ab7ec3d1,CPU,10/18/96,Canada,QC,,Disabled BP Provincials
313,cpu/1996-10-18-f55d983d,CPU,10/18/96,Canada,QC,,Provincials
314,cpu/1996-10-18-fe0d8fc3,CPU,10/18/96,Canada,QC,,BP Provincials
315,cpu/1996-10-19-26a740b2,CPU,10/19/96,Canada,BC,Grand Forks,1996 Fall Classic
316,cpu/1996-10-19-f55d983d,CPU,10/19/96,Canada,BC,Grand Forks,Provincials
317,cpu/1996-11-22-c575a4da,CPU,11/22/96,Canada,NS,Sherbrooke,St Mary's Open
318,cpu/1996-11-24-23755b03,CPU,11/24/96,Canada,BC,Vancouver,Spartacus Winter Open
319,cpu/1997-02-02-19ef9880,CPU,2/2/97,Canada,QC,Rimouski,Eastern Quebec Bench Press Qualifier
320,cpu/1997-02-02-956c8548,CPU,2/2/97,Canada,QC,Rimouski,Eastern Quebec Powerlifting Qualifier
321,cpu/1997-03-01-24692678,CPU,3/1/97,Canada,MB,Winnipeg,BP Nationals
322,cpu/1997-03-01-520e0322,CPU,3/1/97,Canada,MB,Winnipeg,Nationals
323,cpu/1997-04-05-b2ebf14e,CPU,4/5/97,Canada,NL,Cornerbrook,Masters Nationals
324,cpu/1997-04-05-ca5f65ac,CPU,4/5/97,Canada,NL,Cornerbrook,Junior Nationals
